Player,Team,Role,Captain,ViceCaptain,Matched_Player,API_Name,Suggested_Match,Match_Type,Matches,Runs,Wickets,Catches,Stumpings,RunOuts,Batting_Points,Bowling_Points,Fielding_Points,Base_Points,Multiplier,Points,snapshot_time
tymal mills,cc,NAN,False,False,,,david miller,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
adil rashid,sd,NAN,False,False,adil rashid,Adil Rashid,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-23T10:44:04.245161+00:00
usman tariq,lg,NAN,False,False,,,asa tribe,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
nathan ellis,f9,NAN,False,False,nathan ellis,Nathan Ellis,,exact/alias,1,0,1,0,0,0,-2,33,0,35,1,35,2026-07-23T10:44:04.245161+00:00
phil salt,lg,NAN,False,False,phil salt,Phil Salt,,exact/alias,1,0,0,0,0,1,0,0,6,10,1,10,2026-07-23T10:44:04.245161+00:00
finn allen,sd,NAN,False,False,,,david miller,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tom banton,lg,NAN,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
lhuan dra p,lg,NAN,False,False,,,nathan ellis,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
ryan rickelton,ssw,NAN,False,False,ryan rickelton,Ryan Rickelton,,exact/alias,1,25,0,0,0,0,32,0,0,36,1,36,2026-07-23T10:44:04.245161+00:00
jonny bairstow,f9,NAN,False,False,,,jason roy,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
jordan cox,cc,NAN,False,False,jordan cox,Jordan Cox,,exact/alias,1,6,0,0,0,0,6,0,0,10,1,10,2026-07-23T10:44:04.245161+00:00
james rew,f9,NAN,False,False,,,james vince,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tom kohler,cc,NAN,False,False,,,nikhil chaudhary,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tom abell,sd,NAN,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
